video_id,total_comments,avg_likes_per_comment,total_likes,max_likes_per_comment,avg_comment_length,median_comment_length,avg_word_count,median_word_count,comments_with_mentions,comments_with_hashtags,comments_with_urls,total_replies,reply_comments_count
Rq2lrUhyLF8,30,30.8,924,217,157.77,128.0,28.93,24.5,3,0,2,32,19
Rupm_MgeolM,10,2.3,23,16,55.5,47.5,7.5,7.0,0,0,1,1,1
RvrfOt2pqR0,30,57.43,1723,386,119.73,71.0,21.63,12.5,0,2,0,10,10
Ry_MgBcDUfw,12,2.58,31,25,101.25,96.5,19.25,16.5,0,0,1,4,4
S8JLJqLvhzo,30,167.2,5016,2118,124.1,87.5,23.73,18.5,5,0,0,51,21
SC6TNdLOA0w,19,7.05,134,91,58.42,37.0,10.37,7.0,1,0,1,3,3
SGzk_FbJ-dQ,30,116.4,3492,1275,189.73,73.5,35.0,15.0,2,0,1,61,23
SKagZybuw7o,30,12.2,366,168,77.1,58.0,15.4,12.0,0,0,0,6,6
STYohijxBNY,30,167.17,5015,2659,76.97,55.0,14.37,11.0,1,0,1,41,22
SYgGNwyAOt8,16,2.12,34,24,151.62,78.0,28.12,11.5,2,0,2,7,6
SfTBTDjSZbg,22,4.36,96,29,78.82,62.5,14.41,11.5,1,0,1,5,5
SjcvBFfMulY,30,37.63,1129,663,81.0,54.5,14.07,9.0,6,0,1,26,15
SjvsfBvfyvI,30,66.57,1997,783,131.37,90.0,24.73,18.5,2,0,1,31,22
Sjw0ZSHXxrc,3,2.33,7,3,40.0,27.0,7.0,4.0,0,0,0,0,0
Smm8GlRQ-Uc,30,27.8,834,354,133.4,80.5,23.93,15.0,0,0,1,7,6
StKU4spwsss,30,110.6,3318,951,36.8,23.0,6.97,4.0,0,0,0,25,19
Suw3XoPlCaM,30,95.37,2861,1085,88.87,74.5,16.37,14.0,1,0,0,32,19
T0olGw9w8Vk,30,3.83,115,41,118.47,64.5,22.07,12.5,1,0,1,8,8
T2M9hSswlIs,30,472.73,14182,4905,89.63,35.5,16.97,8.0,2,0,0,186,23
T2_uib0J8Hc,23,5.39,124,37,71.22,56.0,12.65,10.0,1,0,1,7,7
T6hmdrsLQj8,30,321.47,9644,6055,82.4,62.5,13.9,12.5,3,0,1,183,22
TAj8Zg2rrNg,11,1.09,12,4,101.36,51.0,19.0,11.0,0,0,0,1,1
TGd0Y4Ch8B8,30,21.03,631,162,243.97,104.0,44.6,18.5,0,0,0,11,8
TH0nNn6SmXw,30,228.5,6855,3965,90.37,69.0,16.6,14.0,1,0,1,61,22
TIqQmKapBaY,30,36.57,1097,751,231.13,164.0,42.07,31.0,1,0,1,7,7
TLZr5GVeLcY,30,772.47,23174,7091,58.83,39.5,10.63,6.5,4,0,0,170,25
TRhq6n52JVk,16,2.12,34,14,37.75,30.0,7.19,6.0,0,0,0,0,0
TdCaWsDb7uo,7,1.43,10,5,133.57,164.0,26.14,32.0,0,0,0,0,0
Te0_nt62lJQ,30,26.93,808,354,92.37,78.0,16.73,14.0,2,0,0,18,11
TgOmBWdK84k,30,48.97,1469,578,149.67,61.5,27.67,11.5,4,0,1,30,22
TmuDsq4m4Ts,30,62.8,1884,926,180.73,102.5,33.07,19.0,2,0,1,21,18
Toz7XEsSH_o,30,181.37,5441,3113,62.93,39.5,11.6,7.5,1,0,1,94,23
TpBhsfreU5Q,30,38.3,1149,593,181.3,180.0,32.1,33.0,2,0,0,15,11
Tqu4awn8Pr8,30,4.4,132,46,57.17,34.5,10.73,7.0,1,0,1,6,6
TuYeDdqVxHI,16,1.56,25,6,79.88,52.0,14.56,7.0,2,0,0,7,7
TvytweSNkiE,30,409.1,12273,3162,64.83,30.5,12.27,5.0,2,0,0,57,23
U31WDm6RNYc,17,4.53,77,30,105.65,95.0,19.71,16.0,0,0,0,1,1
U5kU-w9ii0Y,30,54.87,1646,585,254.83,95.5,44.6,18.5,5,0,1,70,23
U60rqe2KC1E,30,72.63,2179,920,96.5,58.0,18.03,11.5,0,0,1,40,21
U7JNdMbj1zM,30,35.9,1077,472,106.53,40.5,19.33,7.0,5,0,1,34,25
U9f9RPXZkEo,30,1.83,55,23,109.23,53.5,18.5,8.5,0,0,0,2,2
UASlgjC9fz0,30,156.3,4689,2498,69.17,55.0,12.5,9.5,2,0,1,29,22
UAUDcoqK5I4,30,38.53,1156,310,89.53,59.5,16.27,10.5,5,0,1,33,20
UDJizJhZkYQ,18,3.17,57,26,90.22,38.0,16.06,7.5,0,0,1,6,6
UE4dTKiNGa0,30,22.7,681,213,136.4,91.5,24.8,18.5,4,0,1,13,13
UF02YPoKfMY,30,98.73,2962,1109,77.6,72.5,13.8,13.5,5,0,0,19,15
UGzNMRWEXjU,30,21.47,644,211,139.27,100.0,24.13,15.5,6,0,2,31,21
UI2fzaXO78E,22,3.41,75,27,70.55,40.0,13.36,8.5,0,0,0,7,7
UJmz89F_bqA,29,4.66,135,52,106.79,62.0,20.17,12.0,2,0,0,6,6
UKCGs5sfheM,30,24.6,738,311,67.5,44.5,12.3,8.5,0,0,0,10,10
UPuI1iAxH7k,29,2.21,64,31,68.07,49.0,12.79,10.0,0,0,0,2,2
UYfGC31ZDJw,30,81.87,2456,1250,75.57,65.5,13.4,12.0,1,0,1,19,11
UdBcXvpmQ5o,11,3.18,35,10,91.36,71.0,17.36,16.0,1,0,1,2,2
UlIDxrK43ko,30,79.3,2379,719,582.67,41.0,101.2,8.0,3,0,1,78,24
Uri24Z3oc74,30,49.4,1482,546,80.9,65.0,14.57,12.0,3,0,1,21,17
UtLM89JgVfc,11,11.27,124,78,182.09,134.0,33.27,26.0,0,0,1,1,1
UuDcH_o1Kg0,15,1.8,27,20,36.6,28.0,7.07,5.0,0,0,0,4,4
V0HyNEd3GHs,30,32.2,966,421,81.87,66.0,14.17,10.5,3,0,1,16,15
V7342SesjCs,30,45.5,1365,401,146.9,79.0,25.8,15.0,5,0,1,42,19
V9SmqAoawH8,16,4.0,64,32,68.56,28.0,12.31,5.5,0,0,1,3,3
VOwdO6lYO9A,30,38.27,1148,414,64.6,45.0,11.23,8.5,6,0,0,28,16
VQ2qME0T5Oc,10,2.1,21,10,72.5,60.5,12.4,10.5,0,0,1,1,1
VRaUyEY4Pnc,15,0.8,12,6,93.07,62.0,17.6,12.0,1,0,0,4,4
VS4ZPEW-zyg,16,3.56,57,26,72.31,38.0,14.12,7.5,0,0,1,1,1
VTTp5A-rSdc,30,316.67,9500,6146,66.17,46.0,11.63,9.0,5,0,1,241,23
VTYJ0NJfUMQ,13,4.92,64,45,28.46,35.0,5.85,5.0,0,0,0,4,4
VVEkNJpUaDQ,10,0.5,5,4,67.8,26.0,12.7,5.0,1,0,0,2,2
Vie8QwUJfgY,12,1.0,12,5,41.33,32.5,7.83,6.0,0,0,0,1,1
VpN78TXMSUM,30,19.77,593,151,209.3,169.0,37.07,28.0,2,0,1,14,11
W-EpiaPcgTk,30,401.9,12057,4281,46.83,25.5,8.43,4.0,3,0,1,51,24
W-gYpWSGBmc,30,38.4,1152,401,231.0,159.5,43.27,26.0,1,0,1,23,17
W0X9WD4Yk4c,30,81.97,2459,1466,113.27,101.0,21.17,21.0,4,1,0,29,21
W0h2Lm9v7yo,27,1.3,35,12,94.33,81.0,18.15,15.0,0,0,0,0,0
W2afI0n8pUk,30,134.93,4048,1041,94.63,68.0,17.4,13.0,5,0,1,63,20
W3CDMcWlPyM,30,1571.23,47137,20861,82.8,38.5,14.2,5.5,4,0,2,97,24
W5L9oZN9LeM,12,0.92,11,3,50.33,30.5,9.08,5.5,0,0,0,2,2
W5u4rZkcYPE,15,3.27,49,16,66.6,45.0,13.0,8.0,0,0,0,4,4
WF8jTZNwy6w,30,20.67,620,151,92.03,65.0,16.7,11.5,5,0,1,18,13
WONRS7BLh4g,30,247.17,7415,2127,153.2,63.0,26.2,11.5,3,0,1,152,24
WQWiLZ1M6xw,30,168.47,5054,2223,183.9,79.5,31.6,14.5,12,0,1,79,24
WQgILXEET3I,21,3.76,79,52,74.29,42.0,13.86,10.0,1,0,0,5,5
WV1OVR2hQFw,30,15.8,474,137,188.47,110.5,34.4,20.0,1,0,1,27,16
Wg3VWhu_M6Q,30,130.73,3922,1309,125.2,66.0,24.23,12.5,10,0,0,68,24
Wg_ygTcS-uQ,30,6.4,192,44,67.7,42.0,11.83,8.0,2,0,1,5,5
WizT_VdtOYM,30,76.27,2288,1197,113.27,117.0,19.83,18.5,4,0,1,33,22
WlYFPeBpU4s,30,12.8,384,176,134.07,81.0,23.9,14.0,1,0,1,7,7
WoNZUlRu168,30,19.47,584,182,98.87,70.0,18.3,13.0,1,0,1,12,12
